,name,position,team,value,total_points,xP,goals_scored,assists,goals_conceded,expected_goals,expected_assists,expected_goal_involvements,influence,creativity,threat,minutes,was_home,opponent_team,tr_total_points,tr_xP,tr_goals_scored,tr_assists,tr_goals_conceded,tr_expected_goals,tr_expected_assists,tr_expected_goal_involvements,tr_influence,tr_creativity,tr_threat,tr_minutes
236,Kenny Tete,DEF,Fulham,45,0,0.6,0,0,0,,,,0.0,0.0,0.0,0,True,1,,,,,,,,,,,,0.0
232,Kasper Schmeichel,GK,Leicester,55,6,4.3,0,0,0,,,,12.2,0.0,0.0,90,False,18,0.04555555555555556,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.25288888888888894,0.016666666666666666,0.0011111111111111111,90.0
353,Romaine Sawyers,MID,West Brom,50,2,0.4,0,0,1,,,,0.0,1.6,0.0,68,True,9,,,,,,,,,,,,0.0
104,Diogo Jota,MID,Wolves,65,0,2.2,0,0,0,,,,0.0,0.0,0.0,0,False,15,0.05228758169934641,0.0,0.003734827264239029,0.0018674136321195146,0.009337068160597572,0.0,0.0,0.0,0.2237161531279178,0.18786181139122318,0.42016806722689076,53.55
257,Luke Ayling,DEF,Leeds,45,0,0.1,0,0,4,,,,35.6,4.3,0.0,90,False,11,,,,,,,,,,,,0.0
161,Issa Diop,DEF,West Ham,45,1,1.6,0,0,2,,,,24.6,0.9,0.0,90,True,14,0.029239766081871343,0.0,0.0017543859649122807,0.0005847953216374269,0.01871345029239766,0.0,0.0,0.0,0.25450292397660823,0.027076023391812868,0.0695906432748538,81.42857142857143
175,James Maddison,MID,Leicester,70,1,1.7,0,0,0,,,,2.8,12.3,0.0,15,False,18,0.03247373447946514,0.0,0.0009551098376313276,0.0,0.009551098376313277,0.0,0.0,0.0,0.19083094555873925,0.4956064947468959,0.23782234957020057,52.35
311,Nathan Redmond,MID,Southampton,65,2,2.2,0,0,1,,,,7.2,7.2,23.0,90,False,6,0.04491228070175438,0.0,0.0014035087719298245,0.002807017543859649,0.01263157894736842,0.0,0.0,0.0,0.23354385964912278,0.22757894736842105,0.2624561403508772,71.25
317,Oliver Burke,MID,Sheffield Utd,45,0,1.0,0,0,0,,,,0.0,0.0,0.0,0,True,20,,,,,,,,,,,,0.0
24,Allan Marques Loureiro,MID,Everton,55,3,1.3,0,0,0,,,,18.0,3.4,0.0,90,False,17,,,,,,,,,,,,0.0
38,Antonee Robinson,DEF,Fulham,45,0,0.6,0,0,0,,,,0.0,0.0,0.0,0,True,1,,,,,,,,,,,,0.0
348,Robert Snodgrass,MID,West Ham,60,0,2.1,0,0,0,,,,0.0,0.0,0.0,0,True,14,0.06991869918699187,0.0,0.0032520325203252032,0.0065040650406504065,0.02113821138211382,0.0,0.0,0.0,0.3151219512195122,0.30032520325203255,0.16910569105691056,29.285714285714285
198,Joel Matip,DEF,Liverpool,55,1,4.0,0,0,0,,,,0.0,0.0,0.0,1,True,10,0.0958904109589041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07945205479452054,0.028767123287671233,0.0547945205479452,3.4761904761904763
149,Harry Kane,FWD,Spurs,105,2,4.5,0,0,1,,,,8.0,22.5,21.0,90,True,7,0.06860902255639098,0.0,0.008458646616541353,0.0,0.010338345864661654,0.0,0.0,0.0,0.38684210526315793,0.14633458646616543,0.43890977443609025,53.2
344,Ricardo Domingos Barbosa Pereira,DEF,Leicester,60,0,0.0,0,0,0,,,,0.0,0.0,0.0,0,False,18,0.04567901234567901,0.0,0.0012345679012345679,0.0012345679012345679,0.011111111111111112,0.0,0.0,0.0,0.27185185185185184,0.21481481481481485,0.10864197530864197,40.5
150,Harry Wilson,MID,Liverpool,55,0,3.3,0,0,0,,,,0.0,0.0,0.0,0,True,10,0.0431266846361186,0.0,0.0013477088948787063,0.0013477088948787063,0.0215633423180593,0.0,0.0,0.0,0.13369272237196766,0.12884097035040432,0.42587601078167114,37.1
31,AndrÃ© Filipe Tavares Gomes,MID,Everton,55,3,1.3,0,0,0,,,,3.8,3.3,20.0,67,False,17,0.029075804776739357,0.0,0.0,0.0010384215991692627,0.01557632398753894,0.0,0.0,0.0,0.12502596053997925,0.09730010384215992,0.02284527518172378,48.15
247,Leandro Trossard,MID,Brighton,60,8,1.1,1,0,3,,,,40.8,27.6,11.0,90,True,5,0.04649390243902439,0.0,0.0022865853658536584,0.0007621951219512195,0.014481707317073171,0.0,0.0,0.0,0.18033536585365853,0.2391768292682927,0.2530487804878049,65.6
173,Jamal Lewis,DEF,Newcastle,45,7,1.6,0,0,0,,,,19.4,39.8,0.0,90,False,19,0.021068472535741158,0.0,0.0007524454477050414,0.0,0.02633559066967645,0.0,0.0,0.0,0.19699021820917983,0.09984951091045899,0.060948081264108354,66.45
373,Sean Longstaff,MID,Newcastle,50,1,1.4,0,0,0,,,,1.0,0.3,0.0,2,False,19,0.034071550255536626,0.0,0.0017035775127768314,0.0,0.022146507666098807,0.0,0.0,0.0,0.18228279386712096,0.0817717206132879,0.151618398637138,29.35
210,Jonjo Shelvey,MID,Newcastle,55,3,1.4,0,0,0,,,,14.4,44.6,22.0,90,False,19,0.04100946372239748,0.0,0.0007886435331230284,0.002365930599369085,0.018138801261829655,0.0,0.0,0.0,0.2151419558359621,0.2891955835962145,0.1411671924290221,63.4
293,Mesut Ãzil,MID,Arsenal,70,0,3.4,0,0,0,,,,0.0,0.0,0.0,0,False,8,0.04148783977110158,0.0,0.001430615164520744,0.001430615164520744,0.00715307582260372,0.0,0.0,0.0,0.16566523605150213,0.32246065808297564,0.09298998569384835,33.285714285714285
378,Simon Moore,GK,Sheffield Utd,45,0,1.8,0,0,0,,,,0.0,0.0,0.0,0,True,20,0.022222222222222223,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.22444444444444445,0.0,0.0,4.5
283,Matthew Longstaff,MID,Newcastle,50,0,0.0,0,0,0,,,,0.0,0.0,0.0,0,False,19,0.028169014084507043,0.0,0.0,0.0,0.023474178403755867,0.0,0.0,0.0,0.08638497652582158,0.050234741784037557,0.10328638497652583,10.65
395,Timo Werner,FWD,Chelsea,95,5,4.5,0,1,1,,,,4.8,11.7,79.0,90,False,3,,,,,,,,,,,,0.0
221,Josh Sims,MID,Southampton,45,0,1.0,0,0,0,,,,0.0,0.0,0.0,0,False,6,,,,,,,,,,,,0.0
45,Ben Davies,DEF,Spurs,50,2,2.6,0,0,1,,,,20.2,35.5,36.0,90,True,7,0.03017241379310345,0.0,0.0,0.0,0.01206896551724138,0.0,0.0,0.0,0.1993103448275862,0.12344827586206895,0.08620689655172414,58.0
251,Liam Cooper,DEF,Leeds,45,0,0.1,0,0,0,,,,0.0,0.0,0.0,0,False,11,,,,,,,,,,,,0.0
160,Isaac Hayden,MID,Newcastle,50,2,1.4,0,0,0,,,,12.8,2.0,0.0,90,False,19,0.039378238341968914,0.0,0.0010362694300518134,0.002072538860103627,0.015544041450777202,0.0,0.0,0.0,0.16103626943005178,0.11917098445595854,0.09637305699481866,48.25
99,DeAndre Yedlin,DEF,Newcastle,45,0,1.6,0,0,0,,,,0.0,0.0,0.0,0,False,19,0.014285714285714285,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.17885714285714285,0.1625714285714286,0.011428571428571429,17.5
102,Denis Odoi,DEF,Fulham,45,1,0.6,0,0,3,,,,11.4,2.6,7.0,90,True,1,,,,,,,,,,,,0.0
321,Oliver Skipp,MID,Spurs,45,0,0.0,0,0,0,,,,0.0,0.0,0.0,0,True,7,0.06944444444444445,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.17222222222222222,0.023611111111111114,0.0,3.6
72,Christian Walton,GK,Brighton,40,0,0.0,0,0,0,,,,0.0,0.0,0.0,0,True,5,,,,,,,,,,,,0.0
187,Jarrad Branthwaite,DEF,Everton,40,0,0.5,0,0,0,,,,0.0,0.0,0.0,0,False,17,0.030848329048843187,0.0,0.0,0.0,0.02313624678663239,0.0,0.0,0.0,0.21696658097686378,0.008997429305912597,0.0,38.9
422,Yves Bissouma,MID,Brighton,45,2,0.0,0,0,3,,,,8.4,3.8,5.0,90,True,5,0.035037878787878785,0.0,0.001893939393939394,0.0,0.014204545454545454,0.0,0.0,0.0,0.23049242424242425,0.06998106060606062,0.061553030303030304,52.8
392,Theo Walcott,MID,Everton,60,0,1.6,0,0,0,,,,0.0,0.0,0.0,0,False,17,0.05623471882640587,0.0,0.0024449877750611247,0.004889975550122249,0.017114914425427872,0.0,0.0,0.0,0.22909535452322735,0.2627139364303178,0.3019559902200489,40.9
281,Matteo Guendouzi,MID,Arsenal,50,0,2.4,0,0,0,,,,0.0,0.0,0.0,0,False,8,0.02546296296296296,0.0,0.0,0.0,0.018518518518518517,0.0,0.0,0.0,0.11666666666666668,0.028703703703703707,0.018518518518518517,20.571428571428573
260,Lys Mousset,FWD,Sheffield Utd,60,0,1.8,0,0,0,,,,0.0,0.0,0.0,0,True,20,0.04633204633204633,0.0,0.0019305019305019305,0.0019305019305019305,0.019305019305019305,0.0,0.0,0.0,0.12393822393822394,0.0835907335907336,0.4015444015444015,25.9
120,Fabian SchÃ¤r,DEF,Newcastle,50,0,0.0,0,0,0,,,,0.0,0.0,0.0,0,False,19,0.028368794326241134,0.0,0.0017730496453900709,0.0017730496453900709,0.031914893617021274,0.0,0.0,0.0,0.2631205673758865,0.06436170212765957,0.1773049645390071,28.2
30,Andros Townsend,MID,Crystal Palace,60,8,2.1,0,1,0,,,,28.4,33.7,2.0,90,True,16,0.028523489932885907,0.0,0.0,0.0,0.020134228187919462,0.0,0.0,0.0,0.15973154362416106,0.2526845637583893,0.10906040268456375,29.8
