,name,position,team,value,total_points,xP,goals_scored,assists,goals_conceded,expected_goals,expected_assists,expected_goal_involvements,influence,creativity,threat,minutes,was_home,opponent_team,tr_total_points,tr_xP,tr_goals_scored,tr_assists,tr_goals_conceded,tr_expected_goals,tr_expected_assists,tr_expected_goal_involvements,tr_influence,tr_creativity,tr_threat,tr_minutes
562,Willy_Boly_423,,,46,0,,0,0,0,,,,0.0,0.0,0.0,0,True,11,,,,,,,,,,,,0
319,Kepa_Arrizabalaga_498,,,56,2,,0,0,2,,,,25.8,0.0,0.0,90,False,1,,,,,,,,,,,,0
377,Mathias_Jorgensen_195,,,44,0,,0,0,0,,,,0.0,0.0,0.0,0,True,13,,,,,,,,,,,,0
507,Shinji_Okazaki_235,,,52,0,,0,0,0,,,,0.0,0.0,0.0,0,False,20,,,,,,,,,,,,0
383,Matt_Doherty_425,,,52,1,,0,0,1,,,,3.2,4.2,7.0,17,True,11,,,,,,,,,,,,0
375,Mateo_Kovacic_499,,,57,2,,0,0,2,,,,8.4,29.2,4.0,62,False,1,,,,,,,,,,,,0
341,Loris_Karius_238,,,49,0,,0,0,0,,,,0.0,0.0,0.0,0,True,7,,,,,,,,,,,,0
35,Anders_Lindegaard_485,,,43,0,,0,0,0,,,,0.0,0.0,0.0,0,False,18,,,,,,,,,,,,0
274,Joe_Powell_547,,,45,0,,0,0,0,,,,0.0,0.0,0.0,0,False,2,,,,,,,,,,,,0
129,Daley_Blind_290,,,50,0,,0,0,0,,,,0.0,0.0,0.0,0,True,3,,,,,,,,,,,,0
58,Arthur_Masuaku_410,,,43,0,,0,0,0,,,,0.0,0.0,0.0,0,False,2,,,,,,,,,,,,0
