,name,position,team,value,total_points,xP,goals_scored,assists,goals_conceded,expected_goals,expected_assists,expected_goal_involvements,influence,creativity,threat,minutes,was_home,opponent_team,tr_total_points,tr_xP,tr_goals_scored,tr_assists,tr_goals_conceded,tr_expected_goals,tr_expected_assists,tr_expected_goal_involvements,tr_influence,tr_creativity,tr_threat,tr_minutes
236,Javier_HernÃ¡ndez BalcÃ¡zar_386,,,60,1,,0,0,3,,,,1.6,1.0,18.0,24,True,11,,,,,,,,,,,,0
205,Isaac_Hayden_271,,,45,2,,0,0,1,,,,22.4,12.0,0.0,90,True,1,,,,,,,,,,,,0
114,Danny_Rose_332,,,55,2,,0,0,1,,,,15.2,53.0,2.0,90,True,2,,,,,,,,,,,,0
261,Jonjo_Shelvey_269,,,50,1,,0,0,0,,,,5.0,4.8,26.0,53,True,1,,,,,,,,,,,,0
3,Aaron_Ramsdale_494,,,45,2,,0,0,1,,,,9.8,0.0,0.0,90,True,15,,,,,,,,,,,,0
447,Rui Pedro_dos Santos PatrÃ­cio_411,,,50,6,,0,0,0,,,,7.8,0.0,0.0,90,False,9,,,,,,,,,,,,0
491,Tom_Cleverley_371,,,50,0,,0,0,0,,,,0.0,0.0,0.0,0,True,4,,,,,,,,,,,,0
158,Etienne_Capoue_373,,,50,2,,0,0,3,,,,9.2,2.6,1.0,90,True,4,,,,,,,,,,,,0
499,Tyrone_Mings_445,,,45,6,,0,1,3,,,,72.6,10.0,0.0,90,False,17,,,,,,,,,,,,0
383,Nampalys_Mendy_179,,,45,0,,0,0,0,,,,0.0,0.0,0.0,0,True,20,,,,,,,,,,,,0
194,Harvey_Barnes_172,,,60,1,,0,0,0,,,,5.6,2.1,11.0,29,True,20,,,,,,,,,,,,0
103,Craig_Cathcart_358,,,45,1,,0,0,3,,,,10.4,0.3,0.0,90,True,4,,,,,,,,,,,,0
516,Will_Norris_413,,,40,0,,0,0,0,,,,0.0,0.0,0.0,0,False,9,,,,,,,,,,,,0
