assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,red_cards,saves,saves_per_90,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,None,None,0,0,205533,None,,0,0,-1,1,0.0,612,66,None,,0,4,1.0,1.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Eddie,0.0,609,65,0,0,0,0.0,612,66,11,False,0.0,612,66,0,,None,59,89,26,0,0,None,0,,205533.jpg,0.0,609,65,0,0,0,Nketiah,0.3,301,49,False,None,0,0,a,1,3,0.0,606,65,0,7088,4692,15492,6143,0.0,0.0,Nketiah,0
0,0,0,None,None,0,0,499175,None,,0,0,0,0,0.0,497,208,None,,0,3,1.0,1.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Ethan,0.0,504,208,0,0,0,0.0,505,207,12,False,0.0,497,200,0,,None,45,478,254,0,0,None,0,,499175.jpg,0.0,504,208,0,0,0,Nwaneri,0.2,346,118,False,None,0,0,a,1,3,0.0,462,184,0,5161,2695,5954,3036,0.0,0.0,Nwaneri,0
0,0,20,None,None,2,1.0,184029,3,,0,0,0,0,58.2,27,24,1,,0,3,3.5,3.5,2,0.66,0.33,0.94,0.47,0.28,1.75,0.88,0.14,Martin,2.5,129,62,0,0.0,0,11.8,48,34,13,False,24.4,158,67,180,,None,85,9,7,0,0,2,0,,184029.jpg,2.5,130,63,0,0,0.0,Ødegaard,12.9,29,11,False,None,2,1.0,a,1,3,35.0,55,34,5,58117,29270,331196,174507,0.3,0.6,Ødegaard,1
0,0,0,None,None,0,0,225321,None,,-1,1,-1,1,0.0,402,34,None,,0,1,1.0,1.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Aaron,0.0,419,52,0,0,0,0.0,422,53,14,False,0.0,414,53,0,,None,44,537,35,0,0,None,0,,225321.jpg,0.0,419,52,0,0,0,Ramsdale,0.7,213,30,False,None,0,0,a,1,3,0.0,346,32,0,4789,2411,20040,7993,0.0,0.0,Ramsdale,0
0,4,55,None,None,2,1.0,154561,None,,0,0,0,0,0.0,604,67,None,,1,1,10.0,10.0,10,0.00,0.0,0.00,0.0,0.00,1.75,0.88,0.0,David,9.0,6,1,0,0.0,0,5.6,129,5,15,True,56.2,29,4,180,,None,55,109,3,0,0,None,0,,154561.jpg,9.0,7,1,0,6,3.0,Raya Martin,27.7,11,1,False,None,2,1.0,a,1,3,0.0,594,67,18,331571,259896,143792,55514,1.6,3.3,Raya,0
0,0,27,None,None,2,1.03,204480,2,,0,0,0,0,25.7,80,63,2,,0,3,3.5,3.5,2,0.16,0.08,0.32,0.16,0.16,1.60,0.83,0.08,Declan,2.5,121,54,0,0.0,0,8.0,82,58,16,False,25.4,150,62,174,,None,65,47,28,0,0,None,0,,204480.jpg,2.5,122,55,0,0,0.0,Rice,5.5,73,24,False,None,2,1.03,a,1,3,29.0,70,45,5,39710,14294,136092,66379,0.4,0.8,Rice,1
2,2,63,None,None,2,1.08,223340,1,,0,0,0,0,89.1,7,6,None,,1,3,10.0,10.0,6,0.47,0.25,0.87,0.47,0.40,1.57,0.85,0.22,Bukayo,9.0,8,5,0,0.0,1,28.6,1,1,17,True,92.0,7,4,166,,None,100,5,4,0,0,1,0,,223340.jpg,9.0,9,6,0,0,0.0,Saka,34.1,7,3,False,None,2,1.08,a,1,3,105.0,3,2,18,457259,216971,252905,154559,0.9,1.8,Saka,1
0,0,50,None,None,2,1.0,462424,None,,0,0,0,0,2.1,247,77,None,,0,2,7.0,7.0,6,0.01,0.0,0.01,0.0,0.00,1.75,0.88,0.0,William,6.0,32,9,0,0.0,0,4.1,191,63,18,False,38.6,77,20,180,,None,60,82,6,0,0,None,0,,462424.jpg,6.0,36,11,0,0,0.0,Saliba,39.8,3,1,False,None,2,1.0,a,1,3,0.0,611,205,12,192443,121288,230282,104736,1.0,2.0,Saliba,0
0,3,43,None,None,2,1.0,167199,None,,0,0,0,0,51.1,29,25,None,,0,3,8.0,8.0,11,0.14,0.07,0.30,0.15,0.16,1.75,0.88,0.08,Thomas,7.0,13,8,0,0.0,1,11.4,50,35,20,False,53.8,36,18,180,,None,50,200,127,0,0,None,0,,167199.jpg,7.0,14,9,0,0,0.0,Partey,1.0,186,62,False,None,2,1.0,a,1,3,9.0,141,84,14,81988,77642,14579,12507,1.4,2.8,Thomas,0
0,0,0,0,0,0,0,192895,None,,-1,1,-1,1,0.0,396,154,None,,0,2,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Kieran,0.0,413,151,0,0,0,0.0,416,155,21,False,0.0,408,155,0,Hamstring injury - Unknown return date,2024-08-12T14:30:04.394338Z,44,530,141,0,0,None,0,,192895.jpg,0.0,413,151,0,0,0,Tierney,0.0,550,185,False,None,0,0,i,1,3,0.0,340,129,0,103,51,2371,587,0.0,0.0,Tierney,0
