,,2020-21,2021-22,2022-23,2023-24
Coefficients,tr_goals_conceded,-1.3490820831689996,-1.0394334621190868,0.09302623308834775,-2.4710682609951933
Coefficients,tr_influence,0.2231589833445539,0.18536378912457532,0.158032925782402,0.2644702260478391
Coefficients,tr_rel,-0.6607662536986663,-0.5315899600417332,-0.4858638967906003,-1.3423068861864393
Std Errors,tr_goals_conceded,0.0811665769240363,0.08158652744262139,0.11176874797717537,0.17653412916343197
Std Errors,tr_influence,0.00456904371959486,0.004959629817555555,0.006053928725525228,0.011821397791656618
Std Errors,tr_rel,0.028661847666567652,0.04141469211465362,0.04918529056217973,0.10415866941386363
p-vals,tr_goals_conceded,3.0720878126956598e-50,3.321004636293417e-32,0.4056190872594442,2.5797032878021762e-37
p-vals,tr_influence,2.3303072128620782e-198,8.036147509329192e-144,2.199769697091593e-96,1.8352154187251357e-75
p-vals,tr_rel,5.694011281828874e-82,1.3299128357335375e-32,3.4140749666584515e-21,1.2151177434337773e-32
