,,2020-21,2021-22,2022-23,2023-24
Coefficients,tr_clean_sheets,5.580987853291419,5.613667547048384,5.795646843639837,6.6352354856453175
Coefficients,tr_goals_conceded,-0.2160388973690319,-0.2843633337379939,0.1237996742507209,-0.3988172954599495
Coefficients,tr_influence,0.10170628454091328,0.10081533933076799,0.08124038514254518,0.09380401731443556
Std Errors,tr_clean_sheets,0.06349096488867234,0.07775182608043811,0.09156041834002256,0.06454106989474585
Std Errors,tr_goals_conceded,0.03318571164599683,0.029933563984790513,0.04078144128867942,0.04239932335093096
Std Errors,tr_influence,0.0023015104776797734,0.002157235625187991,0.00252910458483867,0.0030280124354100193
p-vals,tr_clean_sheets,3.406237e-318,6.563524097795705e-259,2.1991906104989103e-245,1.564864e-318
p-vals,tr_goals_conceded,1.745421839321568e-10,1.0209654429155319e-19,0.002521073344456647,2.489578699163478e-19
p-vals,tr_influence,7.2875528765225605e-180,3.610096518437434e-180,3.529263305557341e-125,1.9149444223214362e-114
