,,2020-21,2021-22,2022-23,2023-24
Coefficients,const,62.33940727445737,57.46636101215562,55.99774147918065,53.680000356113084
Coefficients,tr_goals_conceded,-502.16114801609143,-370.22522120383,-382.84580588409074,-313.71969550617314
Coefficients,tr_influence,-15.258527428727852,-4.653207601058446,-8.169162237132214,0.5146975539103953
Coefficients,tr_rel,-12.785228346603537,-134.6325210852802,-119.88336358233636,-170.595785961425
Std Errors,const,0.7273757190347978,1.0149155506256229,0.6791294251810446,0.5877796578071008
Std Errors,tr_goals_conceded,32.925310990366945,33.42388609091224,28.588973862102513,24.16489422928311
Std Errors,tr_influence,3.063225474482553,3.678805191119427,2.474975691579571,2.0329241413053794
Std Errors,tr_rel,8.527759867408445,17.517736775468844,12.609852257618385,18.972594345209583
p-vals,const,3.06e-322,4.3657562289972685e-222,5.6743653107739e-310,2.0324076943427024e-300
p-vals,tr_goals_conceded,4.052253369842454e-44,1.0639639820696954e-25,1.4784876120416235e-35,3.928811506836555e-33
p-vals,tr_influence,8.452396429542521e-07,0.2064958572319453,0.00102751997060619,0.8002396039723165
p-vals,tr_rel,0.1343778477087435,7.880705272728113e-14,6.205376486156017e-20,6.060938901293597e-18
